rkd_term,aat_id,aat_labels,broader_terms
fire stick,300024648,"fire stick; fire sticks; fire-sticks; poken; pook; sticks, fire; vuurstok; vuurstokken",equipment by process; fire-making and controlling equipment; firemaking equipment; uitrusting naar proces; vuurmakende en beheersende uitrusting
shaving basin,300227367,"barber's basins; barbers' basins; barbers' bowls; basins, barbers'; basins, shaving; bowls, barbers'; bowls, shaving; helmets, mambrino; helmets, mambrino's; mambrino helmets; mambrino's helmets; scheerbekken; scheerbekkens; shaving basin; shaving basins; shaving bowl; shaving bowls",containers for personal grooming and hygiene; containers for personal use; houder voor lichaamsverzorging en hygiëne; houders voor lichaamsverzorging en hygiëne; houders voor persoonlijk gebruik
painting equipment,300167850,painting equipment; schildersbenodigdheden; schildersgereedschap,"equipment by process; equipment, image-making; image-making equipment; uitrusting naar proces; uitrusting voor beeldvervaardiging"
candle snuffer,300181446,"candle snuffer; candle snuffers; candle-snuffer; candle-snuffers; candlesnuffer; candlesnuffers; kaarsensnuiter; kaarsensnuiters; kaarsesnuiter; kaarsesnuiters; snuffer, candle; snuffers; snuffers, candle","components, furnishings; components, lighting device; furnishings component; furnishings components; interieurinrichtingsonderdelen; lighting device component; lighting device components; onderdeel van verlichtingsmiddel; onderdelen van verlichtingsmiddelen"
sports and athletic equipment,300211035,sport- en atletiekbenodigdheden; sportmateriaal; sports and athletic equipment,ontspanningsmiddel; ontspanningsmiddelen; recreational artifact; recreational artifacts
stick,300014681,stick; sticks; stok; stokken,"genres, object; object genre; object genres; object genres by form; objectgenres; objectgenres naar vorm"
drawing instrument,300123627,"drawing instrument; drawing instruments; drawing tools; drawing tools and equipment; instruments, drawing; tekenbenodigdheden; tools, drawing","drafting, drawing and writing equipment by general type; equipment for drafting, drawing, and writing; schets-, teken- en schrijfbenodigdheden; schets-, teken- en schrijfbenodigdheden naar algemeen type"
telephone,300249768,phones; telefoon; telefoons; telefoontoestel; telefoontoestellen; telephone; telephones,"components, system; components, telecommunication systems; onderdeel van telecommunicatiesysteem; onderdelen van telecommunicatiesystemen; systeemonderdelen; system component; system components; telecommunication systems component; telecommunication systems components"
vase,300132254,vaas; vase; vases; vazen,containers by form; houder naar vorm; houders naar vorm; vaatwerk; vaten; vessel; vessels
arms rack,300420345,"arms rack; arms racks; rack, arms",equipment for weapons; temporary alphabetical list: equipment for weapons
holy water stoup,300111961,holy water font; holy water fonts; holy water stoup; holy water stoups; stoops; stoups; wijwaterbak; wijwaterbakje; wijwaterbakjes; wijwaterbakken,"christian religious building fixture; christian religious building fixtures; meubilair van christelijke religieuze gebouwen; religieus roerend goed; religious building fixture; religious building fixtures; religious building fixtures, christian"
terrestrial globe,300028092,"aardbollen; aardglobes; globe, terrestrial; globes, terrestrial; terrestrial globe; terrestrial globes; wereldbol; wereldbollen",globe; globes; informatiedragers naar fysieke vorm; information artifacts by physical form
wine press,300203675,"druivenpersen; presses, wine; wijnpers; wijnpersen; wine press; wine presses; winepresses","culinary press; culinary presses; food mills, grinders and presses; pers; persen; press; press, culinary; presses; voedselmaler, -molen en -pers; voedselmalers, -molens en -persen"
ramrod,300204668,"laadstok; laadstokken; loading sticks; loading-sticks; rammers; ramrod; ramrods; scouring sticks; scowring sticks; sticks, loading; sticks, scouring","components, firearm; components, projectile weapon; firearm component; firearm components; projectielwapenonderdelen; projectile weapon component; projectile weapon components; vuurwapenonderdeel; vuurwapenonderdelen"
projectile weapon,300203727,"projectielwapen; projectielwapens; projectile weapon; projectile weapons; weapons, projectile",armaments; arms; strijdmiddelen; strijdwerktuigen; wapen; wapens; weapon; weaponry; weapons
percussive weapon,300203726,"percussive weapon; percussive weapons; slagwapen; slagwapens; weapons, percussive",armaments; arms; strijdmiddelen; strijdwerktuigen; wapen; wapens; weapon; weaponry; weapons
edged weapon,300036973,"arms, edged; blank wapen; blanke wapens; edged arms; edged weapon; edged weapons; snijwapen; snijwapens; weapons, edged",armaments; arms; strijdmiddelen; strijdwerktuigen; wapen; wapens; weapon; weaponry; weapons
drunkenness,300438430,drunk; drunken; drunkenness; drunkness,"begrippen met betrekking tot cultuur; concepts, culture-related; culture and related concepts; culture-related concept; culture-related concepts; cultuur en aanverwante begrippen; cultuurgerelateerd concept; cultuurgerelateerde concepten"
drinking,300379698,drank; drink; drinken; drinking,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
giant,300380125,giant; giants; reuzen,"animal; animal kingdom; animalia; animals; beings, legendary; fabeldieren; fantasiedieren; kingdom animalia; legendary being; legendary beings; metazoa; mythical being; mythical beings; mythisch of legendarisch wezen; mythische of legendarische wezens"
potato,300435305,potato; potatoes,root; roots; tuber; tubers; wortel; wortels
pea,300257766,hale pe'a; hale pe`a; pe'a; pea,"huts, menstrual; menstrual hut; menstrual huts; menstruatiehut; menstruatiehutten; special use structure; special use structures; special-use structures; structuren met een speciale functie; structures, special use; structuur met een speciale functie"
carrot,300435295,carrot; carrots,"components, plant; plant component; plant components; plantonderdelen; root; roots; wortel; wortels"
tomato,300266435,tomaat; tomato; tomatos,berries; berry; bes; fleshy fruit; fleshy fruits; vleesrijke vruchten
lily,300375591,lelie; lelies; lilies; lilium; lily,leliefamilie; liliaceae; liliales; lily family
tulip,300379705,tulip; tulipa; tulips; tulp; tulpen,leliefamilie; liliaceae; liliales; lily family
sheet music,300026430,"bladmuziek; music, sheet; sheet music","documents for musical works; documents for oral or performed works; soort document: gesproken, gezongen of gespeeld werk; soorten documenten: gesproken, gezongen of gespeelde werken; soorten muziekdocumenten"
wagon wheel,300432358,wagon wheel; wagon wheels,"components, land vehicle; land vehicle component; land vehicle components; landvoertuigonderdelen; vehicle components by vehicle type; voertuigonderdeel naar voertuigtype; voertuigonderdelen naar voertuigtype"
inland vessel,300232913,"binnenschepen; binnenschip; binnenvaartschepen; inland vessel; inland vessels; vessels, inland",vaartuig naar locatie of context; vaartuig naar werkgebied; vaartuigen naar locatie of context; vaartuigen naar werkgebied; watercraft by location or context; watercraft by operating environment
boat,300178749,"boat; boats; boot; bootje; bootjes; boten; craft, small; small craft","craft; vaartuig; vaartuig naar algemeen type; vaartuigen; vaartuigen naar algemeen type; vehicles, water; vessels; water vehicles; watercraft; watercraft by general type"
gondola,300212742,gondels; gondola; gondolas; venetiaanse gondel; venetiaanse gondels,"flat-bottomed watercraft; monohull; monohulls; platbodemd vaartuig; platbodemde vaartuigen; watercraft, flat-bottomed"
canoe,300212688,canoe; canoes; kano; kano's,"double-ender; double-enders; nvaartuigen met symmetrisch uiteinde; symmetrical-ended watercraft; vaartuig met gelijke voor- en achtersteven; vaartuigen met gelijke voor- en achtersteven; watercraft, symmetrical-ended"
merchant vessel,300232781,"koopvaarder; koopvaarders; koopvaardijschepen; koopvaardijschip; merchant ships; merchant vessel; merchant vessels; ships, merchant; vessels, merchant",vaartuig naar functie; vaartuig naar specifiek type; vaartuigen naar functie; vaartuigen naar specifiek type; watercraft by function; watercraft by specific type
warship,300212606,"men-of-war; oorlogsschepen; oorlogsschip; vessels, war; war vessels; war-ships; warcraft; warship; warships","marineschepen; marineschip; naval ship; naval ships; naval vessel; naval vessels; ships, naval; vaartuig naar functie; vaartuigen naar functie; vessels, naval; watercraft by function"
passenger vessel,300232798,"craft, passenger; liners, passenger; passagiersboot; passagiersboten; passagiersschepen; passagiersschip; passenger craft; passenger liners; passenger ships; passenger vessel; passenger vessels; ships, passenger; vessel, passenger; vessels, passenger","koopvaarder; koopvaarders; koopvaardijschepen; koopvaardijschepen naar lading; koopvaardijschip; koopvaardijschip naar lading; merchant ships; merchant vessel; merchant vessels; merchant vessels by cargo type; ships, merchant; vessels, merchant"
proa,300232706,praos; praus; prauw; prauwen; praws; proa; proas,"fore-and-aft-rigged vessel; fore-and-aft-rigged vessels; sailing vessels by rig type; vaartuig met gaffeltuig; vaartuigen met gaffeltuig; vessels, fore-and-aft-rigged; zeilvaartuig naar tuigage; zeilvaartuigen naar tuigage"
paddle steamer,300232995,"paddle steamer; paddle steamers; paddle-wheelers; raderboot; raderboten; raderschepen; raderschip; raderstoomboot; raderstoomboten; raderstoomschepen; raderstoomschip; steamers, paddle","mechanically powered watercraft; mechanically powered watercraft by transmission to water; mechanisch aangedreven vaartuig naar watertransmissie; mechanisch aangedreven vaartuigen; mechanisch aangedreven vaartuigen naar watertransmissie; watercraft, mechanically powered"
lifeboat,300232865,kustreddingboten; kustreddingsboot; kustreddingsboten; life-boat; life-boats; lifeboat; lifeboats; reddingboot; reddingboten; reddingsboot; reddingsboten; reddingsschepen; reddingsschip; reddingssloep; reddingssloepen; reddingsvaartuig; reddingsvaartuigen; scheepsreddingsboot; scheepsreddingsboten,"emergency vessel; emergency vessels; hulpverleningsvaartuig; hulpverleningsvaartuigen; service- en dienstverlenend schip; service- en dienstverlenende schepen; utility and service vessels; vessels, emergency"
steamship,300132256,steamers; steamship; steamships; stoomschepen; stoomschip,"door externe verbrandingsmotor aangedreven vaartuigen; external combustion engine-powered watercraft; mechanically powered watercraft by power plant; vaartuig dat met behulp van een krachtbron mechanisch wordt aangedreven; vaartuigen die met behulp van een krachtbron mechanisch worden aangedreven; watercraft, external combustion engine-powered"
fishing vessel,300232733,"boats, fishing; craft, fishing; fisherman; fishermen; fishing boats; fishing craft; fishing vessel; fishing vessels; vessels, fishing; visserijschepen; visserijschip; vissersboot; vissersboten; vissersschepen; vissersschip",hunting and commercial fishing vessels; vaartuig naar functie; vaartuig voor jacht en commerciële visserij; vaartuigen naar functie; vaartuigen voor jacht en commerciële visserij; watercraft by function
fleet,300219674,fleet; fleets; vloot; vloten,"groepen voertuigen; groupings, vehicle; object groupings by specific context; objectgroep naar specifieke context; objectgroepen naar specifieke context; vehicle grouping; vehicle groupings"
raft,300212835,raft; rafts; vlot; vlotten,"craft, surface; displacement vessel; displacement vessels; oppervlaktevaartuig; oppervlaktevaartuigen; surface craft; vessels, displacement; waterverplaatsingsvaartuigen; waterverplaatsingvaartuig"
sailing ship,300125446,"sailing ship; sailing ships; ships, sailing; ships, tall; tall ships; zeilschepen; zeilschip","craft, sailing; sailing craft; sailing vessel; sailing vessels; sailing vessels by size; sailing-vessel; sailing-vessels; vessels, sailing; zeilvaartuig; zeilvaartuig naar grootte; zeilvaartuigen; zeilvaartuigen naar grootte"
ship,300082981,schepen; schip; ship; ships,"craft; vaartuig; vaartuig naar algemeen type; vaartuigen; vaartuigen naar algemeen type; vehicles, water; vessels; water vehicles; watercraft; watercraft by general type"
flat-bottomed watercraft,300232673,"flat-bottomed watercraft; platbodemd vaartuig; platbodemde vaartuigen; watercraft, flat-bottomed",monohull; monohulls; vaartuig naar doorsnede; vaartuigen naar doorsnede; watercraft by sectional form
houseboat,300005681,"floating houses; house-boats; houseboat; houseboats; houses, floating; woonboot; woonboten; woonschepen; woonschip",vaartuig naar functie; vaartuig naar specifiek type; vaartuigen naar functie; vaartuigen naar specifiek type; watercraft by function; watercraft by specific type
sailboat,300120023,sailboat; sailboats; zeilboot; zeilboten,"craft, sailing; sailing craft; sailing vessel; sailing vessels; sailing vessels by size; sailing-vessel; sailing-vessels; vessels, sailing; zeilvaartuig; zeilvaartuig naar grootte; zeilvaartuigen; zeilvaartuigen naar grootte"
logger,300025610,houthakker; houthakkers; logger; logger's; loggers; loggers'; lumberjacks; woodcutters,bosbouwer; bosbouwers; lumberer; lumberers; lumberman; lumberman's; lumbermen; lumbermen's; people in agriculture or natural resource occupations; personen in de landbouw en natuurlijke hulpbronnen
food,300254496,eetwaren; eten; etenswaren; food; food-stuff; foods; foodstuff; spijzen; voedsel,materiaal; materiaal naar functie; material; materialen; materialen naar functie; materials; materials by function
butter,300389819,boter; butter,eetwaren; eten; etenswaren; food; food-stuff; foods; foodstuff; melk en melkproducten; milk and milk by product; spijzen; voedsel
pastry,300389829,gebak; pastries; pastry,eetwaren; eten; etenswaren; food; food-stuff; foods; foodstuff; materiaal naar functie; materialen naar functie; materials by function; spijzen; voedsel
candied fruit,300404294,"candied fruit; candied fruits; fruitt, candied; konfijt",candies; candy; confection; eetwaren; eten; etenswaren; food; food-stuff; foods; foodstuff; snoep; snoepgoed; spijzen; voedsel
cheese,300390514,cheese; cheeses; kaas; kazen,eetwaren; eten; etenswaren; food; food-stuff; foods; foodstuff; melk en melkproducten; milk and milk by product; spijzen; voedsel
spice,300386730,specerij; specerijen; spice; spices,eetwaren; eten; etenswaren; food; food-stuff; foods; foodstuff; specerijen en kruiden; spices and seasonings; spijzen; voedsel
sugar,300183931,sugar; sugars; suiker,"carbohydrate; carbohydrates; koolhydraat; material, organic; matter, organic; organic material; organic matter; organisch materiaal"
meat,300389813,flesh; meat; meats; vlees,"animal material; animal material by form or function; animal materials; dierlijk materiaal; dierlijk materiaal naar vorm of functie; material, animal"
middle class,300055481,"burgerij; class, middle; middenklasse; middle class; middle classes; middle-class","classes, social; social class; social classes; social classes by specific type; sociale klas; sociale klasse naar specifiek type; sociale klassen; sociale klassen naar specifiek type"
may day,300379726,may day; meifeest; meifeesten,feestdag; feestdagen; holiday; holidays; national holiday; national holidays; nationale feestdag; nationale feestdagen
easter,300069057,easter; easters; eâster; eâstron; feast of the resurrection; pasch; pasen,"christelijke feestdagen; christian holiday; christian holidays; christian holy day; christian holy days; holidays, christian; holidays, religious; holy days; holy-days; holydays; kerkfeesten; religieuze feestdag; religieuze feestdagen; religious holiday; religious holidays"
saint nicholas’ day,300404322,saint nicholas’ day; sint-nicolaasfeest; sinterklaas; st. nicholas day,"christelijke feestdagen; christian holiday; christian holidays; christian holy day; christian holy days; holidays, christian; holidays, religious; holy days; holy-days; holydays; kerkfeesten; religieuze feestdag; religieuze feestdagen; religious holiday; religious holidays"
mardi gras,300164207,fasnacht; fast eve; fastnacht; fat tuesday; mardi gras; shrove tuesday; vastenavond,carnaval; carnavalsfeesten; carnival; carnival days; festival; festivals; shrovetide
devil,300379005,devil; devils; duivel; duivels,geest; geesten; people in religion; person in religion; personen in de religie; spirit; spirits
ascension,300264321,ascension; hemelvaart,"concepts, doctrinal; concepts, religious; doctrinal concept; doctrinal concepts; leerstellige begrippen; religieus begrip; religieuze begrippen; religious concept; religious concepts"
heresy,300379137,heresie; heresies; heresy; ketterij,"concepts, religious; religies en religieuze begrippen; religieus begrip; religieuze begrippen; religions and religious concepts; religious concept; religious concepts"
miracle,300251615,miracle; miracles; mirakel; mirakelen,event; events; gebeurtenis; gebeurtenissen
religious ceremony,300069124,"ceremonies, religious; godsdienstoefening; godsdienstoefeningen; kerkdienst; kerkdiensten; religieuze ceremonie; religieuze ceremonies; religious ceremonies; religious ceremony","ceremonial; ceremonie; ceremonies; ceremonieën; ceremony; cultural event; cultural events; events, cultural"
singing,300264372,singing; voice; zang; zingen,genres for performing arts; genres in literature and performing arts; literaire en mondelinge genres
tuning,300236371,gestemd; stemmen; tuned; tuning,adjusted; adjusting; adjustment; afgesteld; afstellen; finetunen; procedés en technieken naar specifiek type; processes and techniques by specific type
cabinet of curiosities,300263444,"cabinet of curiosities; cabinets of curiosities; cabinets of curiosity; curiosities, cabinets of; curiosity cabinets; rariteitenkabinet; rariteitenkabinetten; rariteitenkamers",cabinet; cabinet rooms; cabinets; closets; gabinetti; gabinetto; kabinet; kabinetten; social and sitting spaces; sociale en zitruimten
art collection,300386365,"art collection; art collections; collections, art; kunstcollectie; kunstcollecties; kunstverzameling; kunstverzamelingen",collectie; collecties; collection; collections; object groupings by general context; objectgroep naar algemene context; objectgroepen naar algemene context
alms,300400538,aalmoes; aalmoezen; alms,dotaties; eigendom; gift; gifts; property; schenking; schenkingen
offering,300417700,offering; offerings,"genres, object; object genre; object genres; object genres by function; objectgenres; objectgenres naar functie"
finger pointing,300445438,finger pointing,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
preparing,300077565,preparation; prepared; prepareren; preparing; voorbereid; voorbereiden,procedés en technieken; procedés en technieken naar specifiek type; processes and techniques; processes and techniques by specific type
catch,300033359,catch; catches; snapslot; snapsloten,"afwerkingsijzerwaren; finish hardware; finishing hardware; hang- en sluitwerk; hardware by form; hardware, finish; ijzerwaren naar vorm"
inspecting,300054645,inspected; inspecteren; inspectie; inspecting; inspection,"analytical function; analytical functions; analytische functie; analytische functies; functies naar algemene context; functions by general context; functions, analytical"
interrogating,300379147,interrogating; interrogation; ondervragen; ondervraging,lichamelijke activiteiten naar specifieke context; physical activities by specific context; public and interactive activities; publieke en interactieve activiteiten
breaking,300053083,breaking; breken; broken; fracturing; gebroken,destroying; destruction; procedés en technieken naar specifiek type; processes and techniques by specific type; vernietigd; vernietigen; verwoesten; verwoesting
measuring,300053578,gemeten; measured; measurement; measuring; meten,analyse- en testtechnieken; analysis and testing techniques; procedés en technieken naar specifiek type; processes and techniques by specific type
urinating,300380099,urinated; urinating; urineren,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
adjudication,300077049,"adjudicated; adjudicating; adjudication; adjudication, administrative; administrative adjudication; berechten; rechtspreken","functies naar specifieke context; functions by specific context; functions, legal; juridische functies; legal function; legal functions; wettelijke functie"
running,300239496,hardlopen; running,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
pouring,300250952,pouring; schenken; uitschenken,procedés en technieken; procedés en technieken naar specifiek type; processes and techniques; processes and techniques by specific type
begging,300386108,bedelen; begged; begging,lichamelijke activiteiten naar specifieke context; physical activities by specific context; public and interactive activities; publieke en interactieve activiteiten
showing,300404521,show; showing; showings; shows; vertoning; vertoningen,"cultural event; cultural events; event; events; events, cultural; gebeurtenis; gebeurtenissen"
distributing,300137595,distributie; distributing; distribution,economic and financial functions; economische en financiële functies; functies naar algemene context; functions by general context
falling,300445429,falling; fell,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
hiding,300445453,hidden; hiding,"activities, physical; lichamelijke activiteit; lichamelijke activiteiten; lichamelijke activiteiten naar specifieke context; physical activities; physical activities by specific context; physical activity"
burning,300228062,burned; burning; burnt; verbrand; verbranden,"fysico-chemische procedés; physicochemical process; physicochemical processes; procedés en technieken naar specifiek type; processes and techniques by specific type; processes, physicochemical"
selling,300078131,selling; sold; verkopen,business; business and related functions; commerce; commercial; handel en aanverwante functies; zaken
tearing,300252881,doorscheuren; gescheurd; scheuren; tearing; torn; verscheuren,"changes, surface or structural change; changing, condition; condition changing; procedés waardoor een toestand wordt gewijzigd; surface or structural change; surface or structural changes; veranderingen in oppervlakte of structuur; wijzigingen in oppervlakte of structuur"
storytelling,300250904,"story telling; story-telling; storytelling; telling of stories; telling, story; vertelkunst",genres for performing arts; genres in literature and performing arts; literaire en mondelinge genres
feeding,300375121,fed; feeding; voeren,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
walking,300248181,pedestrianism; spankeren; vertreden; walking; wandelen,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
sunrise,300343634,sunrise; sunrises; zonsopgang,"begrippen uit de aardkunde; concepts, earth sciences; day, times of; earth sciences concept; earth sciences concepts; tijden van de dag; time of day; time of the day; times of day"
folk dance,300389783,"dances, folk; folk dance; folk dances; folk-dances; volksdans; volksdansen",dance; dances; dansen naar algemeen type; literary and performing arts works; mondelinge en uitgevoerde werken
minuet,300343612,menuet; minuet; minuets,dance; dances; dansen naar algemeen type; literary and performing arts works; mondelinge en uitgevoerde werken
round dance,300379030,"dance, round; rondedans; round dance; round dances; round dancing",dance; dances; dansen naar algemeen type; literary and performing arts works; mondelinge en uitgevoerde werken
feces,300191600,faecaliën; fecal; feces; stools,"animal material by excretions, secretions, and fluids; dierlijke uit- en afscheidingsproducten; drek; excrement; excrementen; excreta; kak; poep; stront; uit- en afscheidingsproduct; uit- en afscheidingsproducten; uitwerpselen"
outhouse,300137896,buiten wc's; gemakhuisjes; necessaries; necessary houses; offices; outhouse; outhouses; privaathuisje; privaathuisjes,ancillaries; bijgebouw; bijgebouwen; bouwwerken naar locatie; outbuilding; outbuildings; single built works by location or context
doorway,300002767,"deuropening; deuropeningen; door openings; doorway; doorways; openings, door",deuropeningen en deuropeningonderdelen; doorways and doorway components; opening naar vorm; openingen naar vorm; openings by form
door,300002803,deur; deuren; door; doors,"component, doorway; components, doorway; deuren en deuronderdelen; deuropeningonderdeel; deuropeningonderdelen; doors and door components; doorway component; doorway components"
poet,300025513,dichter; dichters; poet; poet's; poets; poets',auteur; auteurs; author; author's; authors; authors'; people in literature; personen in de literatuur; schrijvers; writers
hell,300185657,hel; hell,"concepts, doctrinal; concepts, religious; doctrinal concept; doctrinal concepts; leerstellige begrippen; religieus begrip; religieuze begrippen; religious concept; religious concepts"
preaching,300379717,gepreekt; preaching; preken,"functies naar specifieke context; functions by specific context; functions, religious; religieuze functie; religieuze functies; religious function; religious functions"
natural curiosities,300266651,"curiosities, natural; natural curiosities; natural curiosity","genres, object; object genre; object genres; object genres by cultural or intellectual evaluation; objectgenres; objectgenres naar culturele of intellectuele waardering"
natural event,300162261,"events, natural; natural event; natural events; natuurverschijnselen",event; events; gebeurtenis; gebeurtenissen
sky,300263064,skies; sky,"begrippen uit de aardkunde; concepts, earth sciences; earth feature; earth features; earth sciences concept; earth sciences concepts; features, earth; kenmerken van de aarde"
poultry,300250036,poultry,aves; bird; birds; craniata; craniates; vertebrata; vertebrate; vertebrate animals; vertebrates; vogels
guinea fowl,300258388,guinea fowl; guinea fowls; guinea-fowl; guineafowl; numididae,aves; bird; birds; chickenlike birds; galliformes; hoendervogels; vogels
gazelle,300250197,gazella; gazelle; gazelles,artiodactyla; bovidae; bovine; bovines; eenhoevigen; even-toed hoofed ungulates; holhoornigen
giraffe,300250194,giraffa camelopardalis; giraffe; giraffes,giraffa; giraffen; giraffidae
roe deer,300253844,"capreolus capreolus; deer, roe; roe deer; roe-deer; roebuck",capreolinae; capreolus; deer; new world deer; schijnherten
reindeer,300253843,caribou; rangifer tarandus; rein-deer; reindeer; reindeers,capreolinae; deer; new world deer; rangifer; schijnherten
maned wolf,300310357,chrysocyon; maned wolf; maned wolves,canid; canidae; canids; canine; canines; carnivora; carnivore; carnivores; roofdieren
lion,300310388,african lion; leeuw; leeuwen; lion; lions; panthera leo,big cat; big cats; cat; cats; felidae; felids; panther; panthera; panthers; roaring cats
leopard,300310390,leopard; leopards; luipaard; luipaarden; panthera pardus; panthers; pard; pardus,big cat; big cats; cat; cats; felidae; felids; panther; panthera; panthers; roaring cats
cougar,300310373,catamounts; cougar; cougars; mountain lions; panthers; poema; bergleeuw; puma concolor; pumas,cat; cats; felidae; felids; puma; pumas and jaguarundis
serval,300310369,leptailurus; serval; servals,carnivora; carnivore; carnivores; cat; cats; felidae; felids; roofdieren
porcupine,300250633,porcupine; porcupines,knaagdieren; mammal; mammalia; mammals; rodent; rodentia; rodents; zoogdier; zoogdieren
rodent,300310315,knaagdieren; rodent; rodentia; rodents,craniata; craniates; mammal; mammalia; mammals; vertebrata; vertebrate; vertebrate animals; vertebrates; zoogdier; zoogdieren
turtle,300310264,chelonia; chelonians; schildpadden; testudines; turtle; turtles,"anapsida; parareptilia; reptiel; reptielen; reptile; reptiles; reptilia; turtles, tortoises, terrapins"
reptile,300265956,reptiel; reptielen; reptile; reptiles; reptilia,chordadieren; chordata; chordate; chordates; craniata; craniates; vertebrata; vertebrate; vertebrate animals; vertebrates
donkey,300265959,burro; burros; donkey; donkeys,equine; equines; equus; equus africanus; equus asinus; true ass; true asses
hinny,300265978,hinney; hinneys; hinnies; hinny,equid; equidae; equids; equine; equines; equus
whale,300250157,walvis; walvissen; whale; whales,"cetacea; cetacean; cetaceans; mammal; mammalia; mammals; walvisachtigen; whales, dolphins, and porpoises; zoogdier; zoogdieren"
dike,300170882,dijk; dijken; dike; dikes; dykes,"constructie tegen overstroming; constructies tegen overstroming; flood control works; flood protection works; hydraulic structures by function; hydraulische bouwconstructies naar functie; waterflow control works; works, flood protection"
ball game,300239662,"ball game; ball games; ballgames; balspel; balspelen; games, ball",game; games; public and interactive activities; publieke en interactieve activiteiten; spel; spelen
blind man's bluff,300379163,blind man's bluff; blind man's buff; blind-man's-buff; blindemannetje; jeu de colin-maillard,game; games; public and interactive activities; publieke en interactieve activiteiten; spel; spelen
boxing,300374825,boksen; boxing,athletics; public and interactive activities; publieke en interactieve activiteiten
archery,300249162,archery; boogschieten,game; games; spel; spelen; sport; sporten; sports
dice game,300424570,dice game; dice games,"equipment, game; game equipment; temporary alphabetical list: game equipment"
party game,300428915,party game; party games,"equipment, game; game equipment; temporary alphabetical list: game equipment"
gymnastics,300222782,gymmen; gymnastics; gymnastiek; turnen,athletics; public and interactive activities; publieke en interactieve activiteiten
tightrope walking,300379116,koorddansen; tight-rope-walking; tightrope walking,genres for performing arts; genres in literature and performing arts; literaire en mondelinge genres
horse race,300379170,horse race; horse races; horse-races; horseraces; paardenrace; paardenraces,concursos; contest; contests; race; racen; races; snelheidswedstrijden; wedkampen; wedstrijd; wedstrijden
horse riding,300249313,"equestrianism; horse riding; horseback riding; paardrijden; riding; riding, horseback",public and interactive activities; publieke en interactieve activiteiten; riding; rijden
battledore and shuttlecock,300222730,"battledore; battledore and shuttlecock; pluimbalspel; shuttlecock, battledore and","binnensporten met een racket; court ball game; court ball games; games, court ball; indoorsporten met een racket; racket court sport; racket court sports; sports, racket court; zaalbalspel; zaalbalspelen; zaalsporten met een racket"
chess,300222748,chess; schaakspelen; schaken,"board game; board games; board-games; bordspel; game; games; games, board; spel; spelen"
tournament,300069188,toernooi; toernooien; tornooien; tournament; tournaments; tourneys; tournooi; tournooien,"concursos; contest; contests; cultural event; cultural events; events, cultural; wedkampen; wedstrijd; wedstrijden"
wrestling,300343539,worstelen; wrestling,athletics; public and interactive activities; publieke en interactieve activiteiten
audience,300192793,audience; audiences; publiek; publieksgroepen,"groep mensen naar activiteit; groep personen; groepen mensen naar activiteit; groepen personen; group; group of people; groups; groups of people; groups of people by activity; people, groups of"
dodo,300250043,dodo; dodos; raphus cucullatus,didine; didines; raphidae; raphus
barber surgeon,300411595,barber surgeon; barber surgeons; barber-surgeon; chirurgijn; chirurgijnen,people in health and medicine; people in science-related occupations; personen in beroepen met betrekking tot de wetenschap; personen in de gezondheidszorg en geneeskunde; wetenschappers en personen in aanverwante beroepen
dream,300251611,dream; dreams; dromen; droom,"event; events; events, personal life; gebeurtenis; gebeurtenissen; personal life event; personal life events; privégebeurtenis; privégebeurtenissen"
fainting,300265768,fainting; flauwvallen; verzwakken,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
accident,300250476,accident; accidents; ongeluk; ongelukken; ongeval; ongevallen,event; events; gebeurtenis; gebeurtenissen
sleeping,300375130,slapen; sleeping; slept,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
stigmatization,300065709,stigmata; stigmatisatie; stigmatization,"christelijke leerstellige begrippen; christian doctrinal concept; christian doctrinal concepts; concepts, doctrinal; doctrinal concept; doctrinal concepts; leerstellige begrippen"
insanity,300055132,insanity; krankzinnigheid,"behavior and mental disorders; diseases, mental; disorder, mental; disorders, mental; gedrags- en geestelijke stoornissen; illness, mental; mental diseases; mental disorder; mental disorders; mental illness; mental pathology; pathology, mental; psychische stoornis; psychische stoornissen"
pregnancy,300189669,gestation; pregnancy; zwangerschap,"biological concept; biological concepts; biologische begrippen; concepts, biological; concepts, scientific; scientific concept; scientific concepts; wetenschappelijk begrip; wetenschappelijke begrippen"
crying,300386081,cried; crying; huilen; weeping; wept,lichamelijke activiteiten naar specifieke context; personal and passive activities; persoonlijke en passieve activiteiten; physical activities by specific context
